X,Y,1StationTe,LocalEasti,LocalNorth,LocalHeigh,Descriptor,StationTex,WGS84Latit,WGS84Longi,Field9,Field10,Field11,Track,Feature,icon_url
146.502327207827,-8.14393010049431,GPS4H-B,445057.178,9099590.909,389.969,GPS1,GPS4H-B,-8.144,146.502,,,,4.000,,./0.png
146.497919828976,-8.1326155678343,GPS4I-B,444570.085,9100841.217,356.577,GPS1,GPS4I-B,-8.133,146.498,,,,4.000,,./0.png
146.484527435258,-8.09336194925235,GPS4L,443089.151,9105179.154,88.048,GPS1,GPS4L,-8.093,146.485,,,,4.000,,./0.png
146.484465360761,-8.09356554271727,GPS4L-B,443082.340,9105156.637,88.296,GPS1,GPS4L-B,-8.094,146.484,,,,4.000,,./0.png
146.476157254508,-8.073200861809,GPS4M,442164.062,9107406.940,39.055,GPS1,GPS4M,-8.073,146.476,,,,4.000,,./0.png
146.476077780148,-8.07345678280607,GPS4M-B,442155.341,9107378.635,39.131,GPS1,GPS4M-B,-8.073,146.476,,,,4.000,,./0.png
146.469274549052,-8.04981400569893,GPS4N-A,441402.330,9109991.557,29.405,GPS1,GPS4N-A,-8.050,146.469,,,,4.000,,./0.png
146.469050892085,-8.050059585217,GPS4N-B,441377.720,9109964.375,29.983,GPS1,GPS4N-B,-8.050,146.469,,,,4.000,,./0.png
146.46195231305,-8.03034801875129,GPS4O-A,440592.654,9112142.619,28.700,GPS1,GPS4O-A,-8.030,146.462,,,,4.000,,./0.png
146.461927543423,-8.03001119824602,GPS4O-B,440589.875,9112179.853,28.812,GPS1,GPS4O-B,-8.030,146.462,,,,4.000,,./0.png
146.444675323208,-7.98555654521281,GPS4R-A,438682.091,9117092.131,33.309,GPS1,GPS4R-A,-7.986,146.445,,,,4.000,,./0.png
146.444699753414,-7.98531421584499,GPS4R-B,438684.748,9117118.926,31.882,GPS1,GPS4R-B,-7.985,146.445,,,,4.000,,./0.png
146.440010757087,-7.97280413815232,GPS4S-A,438166.099,9118501.313,41.961,GPS1,GPS4S-A,-7.973,146.440,,,,4.000,,./0.png
146.440071845402,-7.97251933395956,GPS4S-B,438172.789,9118532.810,42.006,GPS1,GPS4S-B,-7.973,146.440,,,,4.000,,./0.png
146.423360215888,-7.93453569105732,GPS4V,436325.100,9122729.671,93.302,GPS1,GPS4V,-7.935,146.423,,,,4.000,,./0.png
146.423981784954,-7.93449277124092,GPS4V-B,436393.605,9122734.511,56.414,GPS1,GPS4V-B,-7.935,146.424,,,,4.000,,./0.png
146.418175183261,-7.92257491068295,GPS4W-A,435751.736,9124051.232,90.898,GPS1,GPS4W-A,-7.923,146.418,,,,4.000,,./0.png
146.41822342163,-7.9222825787491,GPS4W-B,435757.008,9124083.559,86.588,GPS1,GPS4W-B,-7.922,146.418,,,,4.000,,./0.png
146.411662732635,-7.91111297345828,GPS4X,435032.097,9125317.431,99.439,GPS1,GPS4X,-7.911,146.412,,,,4.000,,./0.png
146.411316254106,-7.91142205281822,GPS4X-B,434993.953,9125283.205,103.438,GPS1,GPS4X-B,-7.911,146.411,,,,4.000,,./0.png
146.405984754515,-7.89862048210533,GPS4Y,434404.245,9126697.687,116.783,GPS1,GPS4Y,-7.899,146.406,,,,4.000,,./0.png
146.405681555868,-7.89845704431074,GPS4Y-B,434370.796,9126715.709,118.997,GPS1,GPS4Y-B,-7.898,146.406,,,,4.000,,./0.png
146.401038717895,-7.88696867192973,GPS4Z,433857.177,9127985.109,122.675,GPS1,GPS4Z,-7.887,146.401,,,,4.000,,./0.png
146.40098535444,-7.88714297390213,GPS4Z-B,433851.322,9127965.830,123.571,GPS1,GPS4Z-B,-7.887,146.401,,,,4.000,,./0.png
146.429160751943,-8.05946738271369,GPS6I,436983.603,9108918.344,131.102,GPS1,GPS6I,-8.059,146.429,,,,6.000,,./0.png
