X,Y,Type,Station,Line,Point,RecoverySP,DateDrille,DrillTeam,DateLoaded,Loader,DrilledDep,TopofCharg,GalvoTest1,GalvoTest2,Units1kg,DetsUsed10,TopAnch,EndCaps,Litologie,Comment1,Comment2,km,TypeofDril,icon_url
146.521822600598,-8.23838814996103,S,402000.500000000000000,"4",2000.500000000000000,402002.500000000000000,2022/09/01,"1",2022/09/01,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.500000000000000,"2","2","1","1",Clay with Mudstone,Cliff,,0.030000000000000,Air,./0.png
146.521768906562,-8.23812211650993,S,402006.500000000000000,"4",2006.500000000000000,,2022/09/01,"1",2022/09/01,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.600000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521715212577,-8.23785609209732,S,402012.500000000000000,"4",2012.500000000000000,,2022/09/01,"1",2022/09/01,Gibson Maraga,"7",6.000000000000000,7.900000000000000,7.500000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521661518654,-8.23759006767814,S,402018.500000000000000,"4",2018.500000000000000,,2022/09/01,"1",2022/09/01,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.500000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521607824793,-8.23732404325242,S,402024.500000000000000,"4",2024.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.900000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521554131005,-8.23705800977511,S,402030.500000000000000,"4",2030.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.600000000000000,7.400000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521500437267,-8.23679198533627,S,402036.500000000000000,"4",2036.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521446743592,-8.2365259608909,S,402042.500000000000000,"4",2042.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521393049978,-8.23625993643896,S,402048.500000000000000,"4",2048.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.400000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521339356438,-8.23599390293545,S,402054.500000000000000,"4",2054.500000000000000,,2022/09/01,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.800000000000000,7.400000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
146.521285672027,-8.23572787848124,S,402060.500000000000000,"4",2060.500000000000000,,2022/09/02,"1",2022/09/02,Gibson Maraga,"7",6.000000000000000,7.900000000000000,7.500000000000000,"2","2","1","1",Clay with Mudstone,,,0.030000000000000,Air,./0.png
