X,Y,Id,NAME,DATE,HP_TEAM,EAST,NORTHING,Line,POINT_X,POINT_Y,icon_url
146.469260056007,-8.04998069635758,"0",4N,2022/06/11,"1",441400.75710599998,9110136.00000000000,"4",441400.75710599998,9109973.12632999942,./0.png
146.440098255313,-7.97269695114681,"0",4S,2022/06/12,"2",438175.72656799998,9118676.00000000000,"4",438175.72656799998,9118513.17689000070,./0.png
146.392234946792,-7.88697296457207,"0",Rpt_1,2022/06/11,"1",432886.68091900001,9128146.00000000000,"4",432886.68091900001,9127983.23162999935,./0.png
146.387623427613,-7.86258980481829,"0",4BB,2022/06/20,"3",432374.37416200002,9130841.00000000000,"4",432374.37416200002,9130678.24861999974,./0.png
146.400928572719,-7.88717027436009,"0",4Z,2022/06/20,"4",433845.06713300000,9128125.57000000030,"4",433845.06713300000,9127962.80271000043,./0.png
146.444775986216,-7.98568521221821,"0",4R,2022/06/20,"2",438693.20443600003,9117240.75204000063,"4",438693.20443600003,9117077.92035000026,./0.png
146.461925714686,-8.03053322430462,"0",4O,2022/06/24,"6",440589.74948400003,9112285.00000000000,"4",440589.74948400003,9112122.13897999935,./0.png
146.476235893147,-8.07347077026443,"0",4M,2022/06/22,"1",442172.76496900001,9107540.00000000000,"4",442172.76496900001,9107377.11085999943,./0.png
146.552999793131,-8.21974987761786,"0",Rpt_2,1899/12/30,"0",450648.83506900002,9091378.00000000000,"4",450648.83506900002,9091215.02015000023,./0.png
146.393260710472,-7.8740318602193,"0",4AA,1899/12/30,"3",432997.67981399997,9129576.90000000037,"4",432997.67981399997,9129414.14113000035,./0.png
146.40595630768,-7.89864243927061,"0",4Y,1899/12/30,"4",434401.11231599998,9126858.02999999933,"4",434401.11231599998,9126695.25514999963,./0.png
146.519872715783,-8.22591844302528,"0",4B,1899/12/30,"7",447000.90080700000,9090691.80399999954,"4",447000.90080700000,9090528.81596999988,./0.png
146.484400563159,-8.0927242541636,"0",4L,2022/06/30,"1",443075.08305100002,9105412.53999999911,"4",443075.08305100002,9105249.63855000027,./0.png
146.450235275224,-7.99956504510028,"0",4Q,1899/12/30,"2",439296.91625499999,9115707.04499999993,"4",439296.91625499999,9115544.20422999933,./0.png
146.41159520426,-7.91122569400295,"0",4X,1899/12/30,"4",435024.67107099999,9125467.74100000039,"4",435024.67107099999,9125304.95787999965,./0.png
146.515650503984,-8.21239074262476,"0",4C,1899/12/30,"7",446534.04731499997,9092186.82799999975,"4",446534.04731499997,9092023.84858000092,./0.png
146.428998626953,-8.05941496276711,"0",6I,1899/12/30,"6",436965.73066700000,9109087.00000000000,"6",436965.73066700000,9108924.11436999962,./0.png
146.423345143974,-7.93467006871524,"0",4V,1899/12/30,"5",436323.45961700001,9122877.60999999940,"4",436323.45961700001,9122714.81169999950,./0.png
146.514576715741,-8.20016213841841,"0",4D,1899/12/30,"0",446414.13808599999,9093559.44600000046,"4",446414.13808599999,9093375.67245999910,./0.png
146.521509475995,-8.23831040702887,"0",4A,1899/12/30,"0",447182.81643000001,9089322.00000000000,"4",447182.81643000001,9089159.00382000022,./0.png
146.382512025088,-7.84903282179236,"0",4CC,1899/12/30,"0",431808.66856500000,9132339.00000000000,"4",431808.66856500000,9132176.25772999972,./0.png
146.502039318787,-8.14414116319941,"0",4H,1899/12/30,"0",445025.49160499999,9099730.47000000067,"4",445025.49160499999,9099567.53535000049,./0.png
146.445594123519,-8.05515035688301,"0",6J,1899/12/30,"0",438793.74150200002,9109561.00000000000,"6",438793.74150200002,9109398.11958999932,./0.png
146.511761532532,-8.1859187051913,"0",4E,1899/12/30,"0",446102.13340799999,9095112.98000000045,"4",446102.13340799999,9094950.01803999953,./0.png
146.505733827533,-8.15861306692429,"0",4G,1899/12/30,"0",445434.45592600002,9098131.00000000000,"4",445434.45592600002,9097968.05590000004,./0.png
146.416456428158,-8.06161381412343,"0",6H,1899/12/30,"0",435584.05520000000,9108841.94800000079,"6",435584.05520000000,9108679.05966999941,./0.png
146.435580869355,-7.95960087720027,"0",4T,1899/12/30,"0",437675.87530199997,9120121.69099999964,"4",437675.87530199997,9119960.37258999981,./0.png
146.431178847205,-7.94757624820413,"0",4U,2022/07/28,"11",437188.87329299998,9121450.78700000048,"4",437188.87329299998,9121289.12501000054,./0.png
146.49814092279,-8.13277170730581,"0",4I,2022/07/28,"2",444594.46419000003,9100986.91000000015,"4",444594.46419000003,9100823.98465999961,./0.png
146.488917214692,-8.10760241386616,"0",4K,2022/07/30,"0",443574.79404600000,9103768.28399999999,"4",443574.79404600000,9103605.37282999977,./0.png
146.403707903417,-8.06641213005586,"0",6G,2022/07/30,"0",434180.07665200002,9108309.24300000072,"6",434180.07665200002,9108146.53421000019,./0.png
146.339051300991,-8.08461258516436,"0",6B,2022/07/30,"0",427058.89559799997,9106286.09899999946,"6",427058.89559799997,9106123.31530999951,./0.png
146.508761176745,-8.17260718020195,"0",4F,2022/08/04,"0",445769.83726499998,9096583.59899999946,"4",445769.83726499998,9096421.30718999915,./0.png
146.419930750235,-7.96294542827818,"0",5F,2022/07/30,"10",435951.49130599998,9119749.87099999934,"5",435951.49130599998,9119588.21931999922,./0.png
146.418231180683,-7.92267007525939,"0",4W,1899/12/30,"0",435757.92278500000,9124203.50999999978,"4",435757.92278500000,9124040.71959000081,./0.png
146.377119186614,-7.83445609179544,"0",4DD,2022/08/04,"0",431211.73412799998,9133949.62800000049,"4",431211.73412799998,9133786.95731000043,./0.png
146.494291599516,-8.12169558492202,"0",4J,2022/08/06,"0",444168.86135800002,9102210.79499999993,"4",444168.86135800002,9102048.00709000044,./0.png
146.351700154372,-8.08070123595542,"0",6C,2022/08/06,"0",428451.91560900002,9106720.74699999951,"6",428451.91560900002,9106557.99435999990,./0.png
146.457243907999,-8.05143088365077,"0",6K,2022/08/06,"0",440076.89073099999,9109973.67100000009,"6",440076.89073099999,9109811.05931999907,./0.png
146.406232406191,-7.96471912985679,"0",5E,2022/08/13,"0",434441.99675400002,9119552.71800000034,"5",434441.99675400002,9119389.97881999984,./0.png
146.598797891019,-7.939479471138,"0",5P,2022/08/13,"0",455662.69806000002,9122368.81699999981,"5",455662.69806000002,9122205.89327000082,./0.png
146.392139914633,-7.96605526923372,"0",5D,2022/08/14,"12",432888.99936500000,9119402.74499999918,"5",432888.99936500000,9119239.99974000081,./0.png
146.587495708369,-7.93967549243992,"0",5O,2022/08/16,"23",454417.00073899998,9122345.79199999943,"5",454417.00073899998,9122183.00000000000,./0.png
146.614552999835,-7.93741298514809,"0",5Q,2022/08/16,"67",457399.00035300001,9122598.63499999978,"5",457399.00035300001,9122436.00035000034,./0.png
146.378066135557,-8.07443783632472,"0",6E,2022/08/18,"4",431356.00001700001,9107417.79800000042,"6",431356.00001700001,9107255.00053000078,./0.png
146.392632243212,-8.06843579663901,"0",6F,2022/08/21,"0",432960.00026499998,9108083.87099999934,"6",432960.00026499998,9107921.00012999959,./0.png
146.380032386388,-7.96870559798351,"0",5C,2022/08/23,"0",431554.99975299998,9119107.78500000015,"5",431554.99975299998,9118945.00032000057,./0.png
146.626603189287,-7.93574155074616,"0",5R,2022/08/22,"0",458727.00013200002,9122784.71900000051,"5",458727.00013200002,9122622.00015999936,./0.png
146.537876739705,-7.94768259262785,"0",5L,2022/08/28,"56",448949.00042300002,9121454.66699999943,"5",448949.00042300002,9121292.00002999976,./0.png
146.439852731998,-7.96157281426952,"0",5H,2022/08/28,"4",438146.99985000002,9119905.83500000089,"5",438146.99985000002,9119742.99970999919,./0.png
146.45453998967,-8.01103268202729,"0",4P,2022/08/27,"1",439773.00039700000,9114276.97299999930,"4",439773.00039700000,9114277.00000000000,./0.png
146.365756355994,-8.07661685282415,"0",6D,2022/08/29,"0",430000.00010599999,9107174.93700000085,"6",430000.00010599999,9107012.00005000085,./0.png
146.499353368817,-8.0368318957456,"0",6M,2022/08/29,"3",444715.00026499998,9111593.70399999991,"6",444715.00026499998,9111431.00025999919,./0.png
146.573656900812,-7.94235701624484,"0",5N,2022/08/27,"2",452892.00000000000,9122047.59600000083,"5",452892.00000000000,9121885.00025999919,./0.png
146.366702402773,-7.96968942977844,"0",5B,2022/09/01,"78",430085.99960300000,9118996.84200000018,"5",430085.99960300000,9118834.00063999929,./0.png
146.55868414807,-7.9447383774957,"0",5M,2022/09/05,"6",451241.99965200003,9121782.68799999915,"5",451241.99965200003,9121620.00029999949,./0.png
146.519722432498,-7.95034359933,"0",5K,2022/09/05,"5",447054.24273499998,9121160.63299999945,"5",446948.40918999998,9120995.53319999948,./0.png
146.47605235218,-7.95614781969233,"0",5i,2022/08/06,"0",442135.99978000001,9120510.82799999975,"5",442135.99978000001,9120348.00035000034,./0.png
146.512160163037,-8.03502018926972,"0",6N,2022/09/13,"5",446125.99991200003,0.00000000000,"6",446125.99991200003,9111632.99921000004,./0.png
146.32618561227,-8.08848369386825,"0",6A,2022/09/13,"3",425642.00023200002,0.00000000000,"6",425642.00023200002,9105693.00025000051,./0.png
145.878181627586,-7.78588839350382,"0",2G,2022/08/15,"9",376186.00033399998,0.00000000000,"2",376186.00033399998,9139043.00043999963,./0.png
145.892762387878,-7.80682718304879,"0",2E,2022/09/15,"6",377800.00007000001,0.00000000000,"2",377800.00007000001,9136732.00015000068,./0.png
145.88594260392,-7.79665299895412,"0",2F,2022/09/15,"5",377045.00008799997,0.00000000000,"2",377045.00008799997,9137854.99964999966,./0.png
145.901041288812,-7.81748442506147,"0",2D,2022/09/15,"7",378716.00013200002,0.00000000000,"2",378716.00013200002,9135556.00066000037,./0.png
145.808979682403,-7.71986175235133,"0",2L,2022/09/20,"10",368534.00132300000,0.00000000000,"2",368534.00132300000,9146323.00265000015,./0.png
145.866645797153,-7.77625316478116,"0",2H,2022/09/19,"8",374910.99920600001,0.00000000000,"2",374910.99920600001,9140105.00039999932,./0.png
146.483201418346,-8.04298969517978,"0",6L,2022/09/20,"3",442935.99960300000,0.00000000000,"6",442935.99960300000,9110748.00025999919,./0.png
145.803487065516,-7.70960902039846,"0",2M,2022/09/23,"9",367924.99964699999,0.00000000000,"2",367924.99964699999,9147454.99949000031,./0.png
145.854783910438,-7.74993099483595,"0",3J,2022/09/23,"11",373594.99973500002,0.00000000000,"3",373594.99973500002,9143012.00097000040,./0.png
145.909900727055,-7.82825159310204,"0",2C,2022/09/23,"7",379696.00026499998,0.00000000000,"2",379696.00026499998,9134368.00029000081,./0.png
145.841012143508,-7.75611594294409,"0",3I,1899/12/30,"1",372078.00338700000,0.00000000000,"0",372078.00338700000,9142323.99001000077,./0.png
145.753375180845,-7.59572633999163,"0",2V,1899/12/30,"2",0.00000000000,0.00000000000,"2",362361.09162199998,9160031.92400999926,./0.png
