X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
446673.872934119,9091733.97658416,402528,446673.873,9091733.977,346.959,S,,,,,,,,,./0.png
446681.284778222,9091766.08581923,402534,446681.285,9091766.086,347.377,S,,,,,,,,,./0.png
446683.559917233,9091807.19168974,402542,446683.560,9091807.192,345.791,S,,,,,,,,,./0.png
446680.934821177,9091827.41282236,402546,446680.935,9091827.413,343.958,S,,,,,,,,,./0.png
446678.340914395,9091857.22301815,402552,446678.341,9091857.223,343.973,S,,,,,,,,,./0.png
446665.563916107,9091885.21500697,402558,446665.564,9091885.215,345.738,S,,,,,,,,,./0.png
446643.627399584,9091916.40400565,402566,446643.627,9091916.404,345.306,S,,,,,,,,,./0.png
446637.386205965,9091940.92720313,402570,446637.386,9091940.927,351.998,S,,,,,,,,,./0.png
446631.113358646,9091970.37598191,402576,446631.113,9091970.376,359.745,S,,,,,,,,,./0.png
446617.648345444,9091998.19090672,402582,446617.648,9091998.191,369.233,S,,,,,,,,,./0.png
446611.44478989,9092027.6281438,402588,446611.445,9092027.628,378.210,S,,,,,,,,,./0.png
446612.270270643,9092058.04853916,402594,446612.270,9092058.049,384.574,S,,,,,,,,,./0.png
446618.908306133,9092090.44621479,402600,446618.908,9092090.446,384.760,S,,,,,,,,,./0.png
446616.126463897,9092120.3595833,402606,446616.126,9092120.360,385.629,S,,,,,,,,,./0.png
446610.113854421,9092149.52836984,402612,446610.114,9092149.528,389.012,S,,,,,,,,,./0.png
446603.977484898,9092179.17500414,402618,446603.977,9092179.175,375.015,S,,,,,,,,,./0.png
446597.598217898,9092208.30944148,402624,446597.598,9092208.309,369.584,S,,,,,,,,,./0.png
446593.817282273,9092238.09419619,402630,446593.817,9092238.094,383.792,S,,,,,,,,,./0.png
446584.116193173,9092267.00485438,402636,446584.116,9092267.005,395.906,S,,,,,,,,,./0.png
446582.416765586,9092297.02282278,402642,446582.417,9092297.023,387.204,S,,,,,,,,,./0.png
446574.61524243,9092326.19113131,402648,446574.615,9092326.191,386.051,S,,,,,,,,,./0.png
446568.483917518,9092355.36183451,402654,446568.484,9092355.362,373.303,S,,,,,,,,,./0.png
446554.686363437,9092393.32733038,402662,446554.686,9092393.327,381.708,S,,,,,,,,,./0.png
446550.351596006,9092412.87434303,402666,446550.352,9092412.874,378.572,S,,,,,,,,,./0.png
446546.320385986,9092442.96220088,402672,446546.320,9092442.962,375.549,S,,,,,,,,,./0.png
446544.802982895,9092473.2738574,402678,446544.803,9092473.274,386.447,S,,,,,,,,,./0.png
446538.739872772,9092502.63660366,402684,446538.740,9092502.637,384.351,S,,,,,,,,,./0.png
446534.69028811,9092532.22295893,402690,446534.690,9092532.223,364.563,S,,,,,,,,,./0.png
446529.205035614,9092561.73432931,402696,446529.205,9092561.734,351.910,S,,,,,,,,,./0.png
446521.496319217,9092590.99766599,402702,446521.496,9092590.998,345.147,S,,,,,,,,,./0.png
446510.905077558,9092619.34710155,402708,446510.905,9092619.347,338.965,S,,,,,,,,,./0.png
446503.887724,9092648.63172657,402714,446503.888,9092648.632,340.379,S,,,,,,,,,./0.png
446503.202571375,9092678.90683545,402720,446503.203,9092678.907,343.759,S,,,,,,,,,./0.png
446503.526685513,9092709.67757942,402726,446503.527,9092709.678,342.947,S,,,,,,,,,./0.png
446497.982601489,9092738.96489016,402732,446497.983,9092738.965,331.073,S,,,,,,,,,./0.png
446493.45813264,9092768.72749945,402738,446493.458,9092768.727,314.551,S,,,,,,,,,./0.png
446483.912636171,9092797.30129438,402744,446483.913,9092797.301,301.099,S,,,,,,,,,./0.png
446478.234681155,9092827.03039526,402750,446478.235,9092827.030,286.817,S,,,,,,,,,./0.png
446470.74858927,9092866.34218917,402758,446470.749,9092866.342,274.906,S,,,,,,,,,./0.png
446466.054519111,9092885.52254768,402762,446466.055,9092885.523,272.979,S,,,,,,,,,./0.png
446458.355852959,9092914.86606454,402768,446458.356,9092914.866,267.239,S,,,,,,,,,./0.png
446452.498573851,9092944.3562263,402774,446452.499,9092944.356,262.375,S,,,,,,,,,./0.png
446444.884315629,9092972.97964011,402780,446444.884,9092972.980,260.440,S,,,,,,,,,./0.png
