X,Y,Id,Name,LAT,LONG,POINT_X,POINT_Y,icon_url
146.39174445527,-7.88740641599688,"0",Repeater,,,432832.68063100002,9127935.23124999925,./0.png
146.552999793131,-8.21974987761786,"0",Repeater 2,,,450648.83506900002,9091215.02015000023,./0.png
145.907991011784,-7.6942899901709,"0",Repeater  3,,,379447.28807200002,9149179.72800000012,./0.png
145.856338138479,-7.56085434198485,"0",Repeater 4,,,373710.80227300001,9163919.12415000051,./0.png
